,Overall EITI Report Info,,,,,,,,,EITI Report Coverage of Breakdowns,,,,,,,
Report ID,Period Covered,Country,Region,Publication Date,Sector,Government Revenues (US$),Company Payments (US$),Number of Companies Reporting,Link to Report,By Company,By Commodity,By Revenue Stream,By Rev Stream & Commodity,By Rev Stream & Company,By Project,Is there an SOC?,Are Contracts Disclosed?
Kazakhstan2012,2012.0,Kazakhstan,Europe and Central Asia,December 2014,"Oil, Gas, Mining",30672394366.0,30665150905.0,158.0,https://eiti.org/files/EITI-Report-2012-Kazakhstan%20ANNEX.pdf,x,,x,,,,,no
Kazakhstan2013,2013.0,Kazakhstan,Europe and Central Asia,December 2014,"Oil, Gas, Mining",30773721236.0,31961400394.0,203.0,https://eiti.org/files/EITI-2013-Report-Kazakhstan_Annex.pdf,x,,x,,,,,no
KyrgyzRepublic2004,2004.0,Kyrgyz Republic,Europe and Central Asia,November 2009,Mining,30473246.0,120576226.0,2.0,http://eiti.org/files/Kyrgyz%20Republic%202008%20EITI%20Report_0.pdf,,,x,,,,not specified,no
KyrgyzRepublic2005,2005.0,Kyrgyz Republic,Europe and Central Asia,November 2009,Mining,29106335.0,38337987.0,6.0,http://eiti.org/files/Kyrgyz%20Republic%202008%20EITI%20Report_0.pdf,,,x,,,,not specified,no
KyrgyzRepublic2006,2006.0,Kyrgyz Republic,Europe and Central Asia,November 2009,Mining,26120301.0,33994038.0,6.0,http://eiti.org/files/Kyrgyz%20Republic%202008%20EITI%20Report_0.pdf,,,x,,,,not specified,no
KyrgyzRepublic2007,2007.0,Kyrgyz Republic,Europe and Central Asia,November 2009,Mining,28210188.0,37580429.0,6.0,http://eiti.org/files/Kyrgyz%20Republic%202008%20EITI%20Report_0.pdf,,,x,,,,not specified,no
KyrgyzRepublic2008,2008.0,Kyrgyz Republic,Europe and Central Asia,November 2009,"Oil, Gas, Mining",72855334.0,74794639.0,26.0,http://eiti.org/files/Kyrgyz%20Republic%202008%20EITI%20Report_0.pdf,,,x,,,,not specified,no
KyrgyzRepublic2009,2009.0,Kyrgyz Republic,Europe and Central Asia,July 2011,"Oil, Gas, Mining",96148291.0,99435121.0,26.0,http://eiti.org/files/Kyrgyz%20Republic%202009%20EITI%20Report.pdf,,,x,,,,not specified,no
KyrgyzRepublic2010,2010.0,Kyrgyz Republic,Europe and Central Asia,December 2012,"Oil, Gas, Mining",143976791.0,142159547.0,42.0,http://eiti.org/files/Kyrgyz%20Republic%202009%20EITI%20Report.pdf,x,x,x,,,,not specified,no
KyrgyzRepublic2011,2011.0,Kyrgyz Republic,Europe and Central Asia,December 2012,"Oil, Gas, Mining",246173059.0,246031215.0,57.0,http://eiti.org/files/Kyrgyzstan-2011-EITI-Report-2.pdf,x,x,x,,,,not specified,no
KyrgyzRepublic2012,2012.0,Kyrgyz Republic,Europe and Central Asia,April 2014,"Oil, Gas, Mining",217306922.0,217274931.0,72.0,http://eiti.org/files/Kyrgyzstan-2012-EITI-Report.pdf,x,x,x,,x,,not specified,no
Liberia2008,2008.0,Liberia,Africa,January 2009,"Oil, Mining, Forestry",29450878.97787335,29455182.95362076,46.0,http://eiti.org/files/Liberia%20Jul%202007%20-%20Jun%202008%20EITI%20Report.pdf,x,,x,,x,,yes,no
Liberia2009,2009.0,Liberia,Africa,January 2010,"Oil, Mining, Forestry, Agriculture",35425230.0,35280234.0,65.0,http://eiti.org/files/Liberia%20Jul%202008%20-%20Jun%202009%20EITI%20Report.pdf,x,,x,,x,,yes,no
Liberia2010,2010.0,Liberia,Africa,January 2011,"Oil, Mining, Forestry, Agriculture",71896113.0,69720697.0,71.0,http://eiti.org/files/Liberia%20Jul%202009%20-%20Jun%202010%20EITI%20Report.pdf,x,,x,,x,,yes,no
Liberia2011,2011.0,Liberia,Africa,May 2013,"Oil, Mining, Forestry, Agriculture",102802566.91,115407282.0,65.0,http://eiti.org/files/Liberia-2011-EITI-Report.pdf,x,,x,,x,,yes,no
