MEASURE,,,US Dollars at current prices and current exchange rates in millions,,,,,,,,,,Percentage of total trade in goods and services,,,,,,,,
FLOW,,,Exports,,,,Imports,,,Balance,,,Exports,,,Imports,,,Balance,,
SERIES,,,Total trade in services ,Total trade in goods and services,Total trade in goods and services (US$),Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods,Total trade in services ,Total trade in goods and services,Total trade in goods
YEAR,ECONOMY,Lookup,,,,,,,,,,,,,,,,,,,
2001,Madagascar,2001_Madagascar,350.622,1278.795,1278795000.0,928.173,510.925,1465.972,955.047,-160.303,-187.177,-26.874,27.4181553728,100.0,72.5818446272,34.8523027725,100.0,65.1476972275,..,..,..
2001,Mali,2001_Mali,151.179,876.366,876366000.0,725.187,421.365,1156.112,734.747,-270.186,-279.746,-9.56,17.2506692409,100.0,82.7493307591,36.4467283447,100.0,63.5532716553,..,..,..
2001,Mauritania,2001_Mauritania,46.21702192,401.41702192,401417021.92,355.2,158.18747957,623.38747957,465.2,-111.97045765,-221.97045765,-110.0,11.5134683873,100.0,88.4865316127,25.3754662636,100.0,74.6245337364,..,..,..
2001,Mongolia,2001_Mongolia,113.534,636.717,636717000.0,523.183,205.41,829.231,623.821,-91.876,-192.514,-100.638,17.8311557568,100.0,82.1688442432,24.7711433847,100.0,75.2288566153,..,..,..
2001,Mozambique,2001_Mozambique,249.674,975.626,975626000.0,725.952,618.354,1615.642,997.288,-368.68,-640.016,-271.336,25.5911589072,100.0,74.4088410928,38.2729589847,100.0,61.7270410153,..,..,..
2001,Niger,2001_Niger,56.715,329.207,329207000.0,272.492,147.178,478.45,331.272,-90.463,-149.243,-58.78,17.2277624716,100.0,82.7722375284,30.761417076,100.0,69.238582924,..,..,..
2001,Nigeria,2001_Nigeria,1653.29,19645.09,19645090000.0,17991.8,4639.69,15736.19,11096.5,-2986.4,3908.9,6895.3,8.4157924448,100.0,91.5842075552,29.4842017032,100.0,70.5157982968,..,..,..
2001,Norway,2001_Norway,18355.0,77802.8,77802800000.0,59447.8,15798.1,48843.6,33045.5,2556.9,28959.2,26402.3,23.5916959287,100.0,76.4083040713,32.344257999,100.0,67.655742001,..,..,..
2001,Peru,2001_Peru,1437.33,8463.06,8463059999.999999,7025.73,2400.08,9604.56,7204.48,-962.75,-1141.5,-178.75,16.9835733175,100.0,83.0164266825,24.9889635756,100.0,75.0110364244,..,..,..
2001,Sierra Leone,2001_Sierra Leone,51.968,81.119,81119000.0,29.151,110.898,276.029,165.131,-58.93,-194.91,-135.98,64.0639061132,100.0,35.9360938868,40.1762133689,100.0,59.8237866311,..,..,..
2001,Timor-Leste,2001_Timor-Leste,_,..,..,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
2001,Togo,2001_Togo,71.755,428.967,428967000.0,357.212,129.892,645.966,516.074,-58.137,-216.999,-158.862,16.7273939487,100.0,83.2726060513,20.1081790682,100.0,79.8918209318,..,..,..
2001,Trinidad and Tobago,2001_Trinidad and Tobago,573.8,4878.0,4878000000.0,4304.2,370.0,3956.1,3586.1,203.8,921.9,718.1,11.7630176302,100.0,88.2369823698,9.352645282,100.0,90.647354718,..,..,..
2001,Tanzania,2001_Tanzania,915.397,1766.697,1766697000.0,851.3,649.345,2209.685,1560.34,266.052,-442.988,-709.04,51.8140348911,100.0,48.1859651089,29.386315244,100.0,70.613684756,..,..,..
2001,Yemen,2001_Yemen,166.425,3533.285,3533285000.0,3366.86,847.764,3448.194,2600.43,-681.339,85.091,766.43,4.7102059415,100.0,95.2897940585,24.5857396655,100.0,75.4142603345,..,..,..
2001,Zambia,2001_Zambia,144.04,1054.825,1054825000.0,910.785,366.627,1619.557,1252.93,-222.587,-564.732,-342.145,13.6553456735,100.0,86.3446543265,22.6374866707,100.0,77.3625133293,..,..,..
2002,Afghanistan,2002_Afghanistan,-,..,..,1290.6,-,-,2508.2,-,-,-1217.6,-,-,96.2129118831,-,-,97.4891169154,..,..,..
2002,Albania,2002_Albania,585.0,915.24,915240000.0,330.24,590.21,2075.57,1485.36,-5.21,-1160.33,-1155.12,63.9176609414,100.0,36.0823390586,28.4360440746,100.0,71.5639559254,..,..,..
2002,Azerbaijan,2002_Azerbaijan,362.136,2667.026,2667026000.0,2304.89,1297.73,3121.07,1823.34,-935.594,-454.044,481.55,13.5782703281,100.0,86.4217296719,41.5796505686,100.0,58.4203494314,..,..,..
2002,Burkina Faso,2002_Burkina Faso,47.743,292.786,292786000.0,245.043,151.779,699.421,547.642,-104.036,-406.635,-302.599,16.3064490788,100.0,83.6935509212,21.7006638348,100.0,78.2993361652,..,..,..
2002, Cameroon,2002_ Cameroon,1020.85,2985.14,2985140000.0,1964.29,1286.28,3097.89,1811.61,-265.43,-112.75,152.68,34.1977260698,100.0,65.8022739302,41.5211644055,100.0,58.4788355945,..,..,..
2002,Central African Republic,2002_Central African Republic,14.73196095,161.50636739,161506367.39000002,146.77440644,89.72751324,209.95913846,120.23162522,-74.99555229,-48.45277107,26.54278122,9.1215976113,100.0,90.8784023887,42.7357027173,100.0,57.2642972827,..,..,..
2002, Chad,2002_ Chad,67.14606277,251.79773539,251797735.39000002,184.65167262,670.59978077,2170.76908067,1500.1692999,-603.453718,-1918.97134528,-1315.51762728,26.6666666664,100.0,73.3333333336,30.8922670192,100.0,69.1077329808,..,..,..
2002,Republic of the Congo,2002_Republic of the Congo,164.798,2453.608,2453608000.0,2288.81,926.881,1618.026,691.145,-762.083,835.582,1597.665,6.7165578202,100.0,93.2834421798,57.2846789854,100.0,42.7153210146,..,..,..
2002,Democratic Republic of Congo,2002_Democratic Republic of Congo,120.82858158,1252.94050885,1252940508.85,1132.11192727,343.7821561,1424.31176509,1080.52960899,-222.95357452,-171.37125624,51.58231828,9.6436008515,100.0,90.3563991485,24.1367209431,100.0,75.8632790569,..,..,..
2002, Equatorial Guinea,2002_ Equatorial Guinea,25.42689944,2142.05801536,2142058015.36,2116.63111592,616.30291744,1123.66535473,507.36243729,-590.876018,1018.39266063,1609.26867863,1.1870313156,100.0,98.8129686844,54.8475500153,100.0,45.1524499847,..,..,..
2002, Gabon,2002_ Gabon,86.0,2641.51,2641510000.0,2555.51,758.604,1693.581,934.977,-672.604,947.929,1620.533,3.2557135881,100.0,96.7442864119,44.7928974168,100.0,55.2071025832,..,..,..
2002,Ghana,2002_Ghana,554.9,2570.1,2570100000.0,2015.2,620.912,3327.912,2707.0,-66.012,-757.812,-691.8,21.5905995876,100.0,78.4094004124,18.6577048912,100.0,81.3422951088,..,..,..
2002,Guatemala,2002_Guatemala,1145.38,3964.3,3964300000.0,2818.92,1066.05,6857.06,5791.01,79.33,-2892.76,-2972.09,28.8923643518,100.0,71.1076356482,15.5467503566,100.0,84.4532496434,..,..,..
2002, Guinea,2002_ Guinea,90.47,799.068,799068000.0,708.598,330.64,999.159,668.519,-240.17,-200.091,40.079,11.3219400602,100.0,88.6780599398,33.0918302292,100.0,66.9081697708,..,..,..
2002,Indonesia,2002_Indonesia,_,..,..,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
2002,Iraq,2002_Iraq,-,..,..,12218.8,-,-,8252.005524,-,-,3966.794476,-,-,97.9632302196,-,-,83.5039509466,..,..,..
2002,Kazakhstan,2002_Kazakhstan,1540.42,11567.32,11567320000.0,10026.9,3538.28,11578.05,8039.77,-1997.86,-10.73,1987.13,13.316999962,100.0,86.683000038,30.560241146,100.0,69.439758854,..,..,..
