Time,Country Name,Lookup,Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Ores and metals exports (% of merchandise exports) [TX.VAL.MMTL.ZS.UN],Extractive Exports(% Merchandise Exports),Extractive Exports (current US$),"School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, primary (% gross) [SE.PRM.ENRR]","Adjusted net enrollment rate, primary (% of primary school age children) [SE.PRM.TENR]"
2002.0,Indonesia,2002_Indonesia,59166000000.0,24.419384619409332,5.264110470358705,0.29683495089768036,17562536704.812157,92.70685,111.58146,96.89888
2002.0,Iraq,2002_Iraq,12219000000.0,95.322466305564,0.01485997972001872,0.9533732628528402,11649267898.798855,..,..,..
2002.0,Kazakhstan,2002_Kazakhstan,9670300000.0,59.050228249472205,16.173852094274768,0.7522408034374698,7274394241.481364,91.36413,103.4907,98.73896
2002.0,Madagascar,2002_Madagascar,486000000.0,1.96011250861615,1.3732973656245726,0.033334098742407225,16200371.988809912,67.26867,102.18569,67.67951
2002.0,Mali,2002_Mali,874000000.0,3.5796341212818312,0.08759009017880824,0.036672242114606395,32051539.60816599,55.85586,71.60815,55.86397
2002.0,Mauritania,2002_Mauritania,331669534.0,..,61.911926741963185,..,..,62.28019,83.19327,62.52488
2002.0,Mongolia,2002_Mongolia,524000000.0,0.8496508444852628,42.75466678806617,0.43604317632551426,228486624.3945695,89.55179,102.06147,93.13577
2002.0,Niger,2002_Niger,279000000.0,1.38423804634812,45.42455278589328,0.4680879083224141,130596526.42195353,35.09052,41.0481,35.4187
2002.0,Nigeria,2002_Nigeria,17975000000.0,94.0374643852279,0.02852560967797218,0.9406598999490587,16908361701.584332,..,97.64834,..
2002.0,Norway,2002_Norway,59662000000.0,60.65006438823788,6.09042217990171,0.6674048656813959,39818709096.28344,99.74167,100.27272,99.74167
2002.0,Peru,2002_Peru,7713900000.0,7.7690949944377,39.69490091520005,0.4746399590963775,3661325180.4735465,97.91068,120.0489,99.93604
2002.0,Sierra Leone,2002_Sierra Leone,48668700.0,..,0.1150017787662817,..,..,..,..,..
2002.0,Tanzania,2002_Tanzania,979600000.0,0.11572944143660707,12.460985432921515,0.12576714874358122,123201498.90921216,72.88328,89.12287,72.93025
2002.0,Timor-Leste,2002_Timor-Leste,..,..,..,..,..,..,113.35875,..
2002.0,Togo,2002_Togo,427000000.0,0.5343436301979554,16.74169404747335,0.17276037677671305,73768680.88365647,88.2755,116.97468,90.95327
2002.0,Trinidad and Tobago,2002_Trinidad and Tobago,3880000000.0,60.083730666808044,0.20651428623560253,0.6029024495304365,2339261504.1780934,89.87859,96.51678,94.54313
2002.0,"Yemen, Rep.","2002_Yemen, Rep.",3336347422.0,93.5426302721811,0.0633613499361661,0.9360599162211727,3123021088.3220453,..,80.59143,..
2002.0,Zambia,2002_Zambia,956349000.0,0.8355874674912688,69.78496673408452,0.7062055420157578,675378963.901228,72.54633,87.16641,74.18129
2003.0,Afghanistan,2003_Afghanistan,144000000.0,..,..,..,..,..,93.93523,..
2003.0,Albania,2003_Albania,447950000.0,0.9394539310812433,4.0951872993777885,0.05034641230459032,22552675.391841233,91.24935,99.51508,91.24935
2003.0,Azerbaijan,2003_Azerbaijan,2591718144.0,86.01067065598127,1.0329959375088813,0.8704366659349015,2255926500.306351,83.28454,96.21324,83.3463
2003.0,Burkina Faso,2003_Burkina Faso,320544000.0,0.0414226763476624,0.021477473974118172,0.0006290015032178057,201622.6578474483,38.64454,49.30155,39.04104
2003.0,Cameroon,2003_Cameroon,2282560206.0,48.812339702052896,4.158270935894282,0.5297061063794718,1209086079.2969851,..,97.93229,..
2003.0,Central African Republic,2003_Central African Republic,128000000.0,0.0,36.563920063302305,0.3656392006330231,46801817.68102695,..,69.62714,..
2003.0,Chad,2003_Chad,601000000.0,..,..,..,..,57.75562,72.10096,57.94732
2003.0,"Congo, Dem. Rep.","2003_Congo, Dem. Rep.",1377700000.0,..,..,..,..,..,..,..
2003.0,"Congo, Rep.","2003_Congo, Rep.",2677000000.0,..,..,..,..,..,99.75116,..
2003.0,Equatorial Guinea,2003_Equatorial Guinea,2801000000.0,..,..,..,..,70.71533,101.71663,72.68152
2003.0,Gabon,2003_Gabon,3062095664.0,17.594056310573407,8.094125795831898,0.25688182106405305,786596710.4406607,..,139.69148,..
2003.0,Liberia,2003_Liberia,108900000.0,..,..,..,..,..,..,..
2003.0,Kyrgyz Republic,2003_Kyrgyz Republic,581700000.0,20.935584561472204,5.626459381735464,0.2656204394320767,154511409.617639,85.55965,96.6934,93.17206
2003.0,Ghana,2003_Ghana,2324296000.0,0.05686883464634912,3.887712592102837,0.03944581426749186,91683748.31867425,64.2761,80.10215,65.08893
2003.0,Guatemala,2003_Guatemala,4459400000.0,8.227890027799614,0.38510660880910574,0.0861299663660872,384087972.01292926,..,..,..
2003.0,Guinea,2003_Guinea,609000000.0,..,..,..,..,59.40902,73.95233,59.8491
2003.0,Indonesia,2003_Indonesia,64108000000.0,25.771400073339606,5.7274911163705,0.3149889118971011,20193309163.899357,92.08857,111.27537,96.46762
2003.0,Iraq,2003_Iraq,9711000000.0,..,..,..,..,93.78119,105.25788,93.78119
2003.0,Kazakhstan,2003_Kazakhstan,12926700000.0,61.841232161395546,12.8906232733104,0.7473185543470595,9660362756.478134,91.80509,104.50801,98.56023
2003.0,Madagascar,2003_Madagascar,856000000.0,4.281012847547402,1.4122662195744553,0.05693279067121857,48734468.814563096,77.07133,117.26455,77.43427
2003.0,Mali,2003_Mali,928000000.0,1.3002190374297466,0.07398815384661392,0.013742071912763604,12752642.735044625,55.9354,73.39369,55.94413
2003.0,Mauritania,2003_Mauritania,318328267.0,..,57.90522551493753,..,..,65.25716,85.17074,65.53898
2003.0,Mongolia,2003_Mongolia,615900000.0,2.915852488885635,43.050060265206575,0.4596591275409221,283104056.6524539,82.56388,105.40457,85.96923
2003.0,Niger,2003_Niger,352000000.0,1.4547609069161622,50.257518215531626,0.5171227912244779,182027222.51101622,38.90975,44.31851,39.23966
2003.0,Nigeria,2003_Nigeria,24031000000.0,97.89661555494133,0.002843988848390072,0.9789945954378971,23526219122.968105,..,..,..
2003.0,Norway,2003_Norway,68321000000.0,61.17591980382632,6.651394091250571,0.6782731389507688,46340299126.25548,99.85574,100.0731,99.85574
2003.0,Peru,2003_Peru,9090730000.0,9.58844428388315,39.87842728078476,0.49466871564667914,4496899733.390736,99.89232,117.7088,99.89232
2003.0,Sierra Leone,2003_Sierra Leone,92251000.0,..,..,..,..,..,..,..
2003.0,Tanzania,2003_Tanzania,1216100000.0,0.09580224671861134,10.147862107913799,0.10243664354632409,124573202.21668473,81.48613,95.64513,81.54448
2003.0,Timor-Leste,2003_Timor-Leste,8000000.0,..,..,..,..,..,107.81766,..
2003.0,Togo,2003_Togo,598000000.0,0.346277176186748,9.241360669259885,0.09587637845446632,57334074.315770864,86.3035,114.74407,88.87572
2003.0,Trinidad and Tobago,2003_Trinidad and Tobago,5177610000.0,61.89235129661807,0.1909211316437894,0.6208327242826186,3214429721.572929,90.99373,100.53892,95.93812
2003.0,"Yemen, Rep.","2003_Yemen, Rep.",3732857000.0,89.54294142242128,0.07439244464014147,0.8961733386706142,3345286920.469973,71.94642,83.63162,72.42416
2003.0,Zambia,2003_Zambia,980445000.0,1.3934051913843226,67.51339552327293,0.6890680071465725,675593282.2668213,..,..,..
2004.0,Afghanistan,2004_Afghanistan,305000000.0,..,..,..,..,..,104.87988,..
2004.0,Albania,2004_Albania,605400000.0,2.6277119080707485,5.522306591121016,0.08150018499191765,49340211.99410694,..,..,..
2004.0,Azerbaijan,2004_Azerbaijan,3615400000.0,82.21596106248496,1.4202708226380816,0.8363623188512306,3023784327.574739,84.21228,97.26133,84.28326
2004.0,Burkina Faso,2004_Burkina Faso,479287000.0,0.04490584294484442,0.15241036785129192,0.0019731621079613635,945710.947238478,41.14093,53.86393,41.89653
2004.0,Cameroon,2004_Cameroon,2476762000.0,46.68503623043592,5.061878038391601,0.5174691426882753,1281647908.782898,..,102.21166,..
2004.0,Central African Republic,2004_Central African Republic,133829278.0,0.18329670096920042,36.82217389397274,0.3700547059494194,49524154.1177131,..,59.82873,..
2004.0,Chad,2004_Chad,2191000000.0,..,..,..,..,..,75.51342,..
2004.0,"Congo, Dem. Rep.","2004_Congo, Dem. Rep.",1917200000.0,..,..,..,..,..,..,..
2004.0,"Congo, Rep.","2004_Congo, Rep.",3433000000.0,..,..,..,..,..,111.21367,..
2004.0,Equatorial Guinea,2004_Equatorial Guinea,4598843000.0,..,..,..,..,..,..,..
2004.0,Gabon,2004_Gabon,3727628080.0,76.18391069455576,5.508436704138614,0.8169234739869438,3045186880.844881,..,..,..
2004.0,Liberia,2004_Liberia,103800000.0,..,..,..,..,..,..,..
2004.0,Kyrgyz Republic,2004_Kyrgyz Republic,718800000.0,18.835434982661194,7.3114810212594055,0.261469160039206,187944032.2361813,90.17227,98.09339,97.88988
2004.0,Ghana,2004_Ghana,2450000000.0,..,..,..,..,59.61725,83.8068,60.50224
2004.0,Guatemala,2004_Guatemala,5036400000.0,8.286935715743681,0.49881368530456244,0.08785749401048243,442485482.8343937,92.41535,112.4497,93.8582
2004.0,Guinea,2004_Guinea,744230000.0,0.26828433251140954,77.61838816577354,0.7788667249828495,579655982.733986,62.59013,77.597,63.07828
2004.0,Indonesia,2004_Indonesia,70766610000.0,25.79947752220779,6.434500542394847,0.32233978064602636,22810893544.462894,91.20634,110.71783,95.74361
2004.0,Iraq,2004_Iraq,17810000000.0,96.03183204860723,0.022713330200377115,0.960545453788076,17107314531.965633,92.46121,103.77634,92.46121
2004.0,Kazakhstan,2004_Kazakhstan,20093100000.0,64.8431267332422,14.03141389487374,0.7887454062811594,15848340322.947964,92.4228,105.22275,98.70557
2004.0,Madagascar,2004_Madagascar,991613000.0,1.7857751871216996,2.491195323090669,0.04276970510212369,42410995.58543218,..,133.66206,..
2004.0,Mali,2004_Mali,976433000.0,0.7675577163474525,0.1116942552713721,0.008792519716188246,8585306.404036839,55.96439,76.73145,55.96439
2004.0,Mauritania,2004_Mauritania,439609758.0,..,59.82674947271924,..,..,72.19833,91.48337,72.41388
2004.0,Mongolia,2004_Mongolia,869700000.0,4.091989239468822,54.48056261948805,0.5857255185895687,509405483.5173479,87.43958,108.52431,92.84346
